date,equity,cash,positions
2026-07-21,90614.72,1487.95,DDOG:33;GTLB:258;MPC:29;NET:33;OKTA:63;PANW:26;PSX:44;PYPL:163;SNOW:32;VLO:29
2026-07-22,88956.96,1275.60,ELF:108;GTLB:258;MPC:29;NET:33;OKTA:61;PANW:26;PSX:44;PYPL:163;SNOW:32;VLO:29
2026-07-23,86859.69,8649.59,JD:281;MPC:29;NET:33;PANW:26;PSX:44;PYPL:163;SNOW:32;TRV:22;VLO:29
2026-07-24,87385.82,8618.90,AAPL:26;JD:281;MPC:29;NET:33;PSX:44;PYPL:163;SNOW:32;TRV:22;VLO:29
2026-07-27,87811.71,1075.54,AAPL:26;JD:281;LMT:14;MPC:29;OXY:148;PSX:44;PYPL:163;TRV:22;VLO:29;XOM:54
2026-07-28,88375.58,-325.33,AAPL:26;ELF:102;HPQ:323;JD:281;MPC:29;PSX:44;PYPL:163;ROST:35;RTX:39;TRV:22
2026-07-29,88197.15,31.63,DOCU:153;HPQ:323;JD:281;MCK:9;MPC:29;NUE:32;PSX:44;PYPL:163;ROST:35;TRV:22
2026-07-30,87171.97,2099.97,DOCU:153;GM:93;HPQ:294;JD:281;NUE:32;OXY:149;PSX:44;PYPL:163;ROST:35;WDAY:49
2026-07-31,87794.07,1836.66,GM:93;HPQ:294;ICE:54;JD:281;MPC:26;NET:29;PSX:44;PYPL:163;ROST:35;VLO:27
2026-08-03,87281.81,1022.59,CVX:43;HPQ:294;JD:281;MPC:26;MSFT:18;OXY:149;PSX:44;PYPL:163;REGN:11;ROST:35
2026-08-04,87992.86,827.57,AMZN:29;DOCU:154;DXCM:97;HPQ:294;JD:281;MSFT:18;PYPL:163;ROST:35;SNOW:27;TGT:56
2026-08-05,86199.12,1679.26,DOCU:154;HPQ:294;MSFT:18;NUE:30;PATH:602;PLTR:52;PYPL:163;SNOW:27;TEAM:76;WDAY:49
2026-08-07,90170.55,9961.79,DOCU:154;HPQ:294;MSFT:18;NUE:30;PLTR:52;PYPL:163;SNOW:27;TEAM:76;WDAY:49
2026-08-07,92519.46,-1484.37,ELF:96;MSFT:18;PATH:637;PLTR:52;PYPL:163;SHOP:60;SNOW:27;TEAM:76;U:218;WDAY:49
2026-08-10,93356.80,7708.19,ELF:96;MSFT:18;PATH:637;PLTR:52;PYPL:163;SNOW:27;TEAM:76;U:218;WDAY:49
2026-08-11,93772.88,-1195.92,ABNB:49;ELF:96;MSFT:18;NEM:77;PATH:637;PLTR:52;PYPL:163;TEAM:76;U:218;WDAY:49
2026-08-12,92351.84,-69.38,ABNB:49;ELF:96;GTLB:212;MDB:20;MSFT:18;PATH:637;PLTR:52;TEAM:76;U:218;WDAY:49
2026-08-13,95593.79,-2028.15,GTLB:212;HPE:155;MDB:20;NEM:77;NTAP:45;PATH:637;PLTR:52;SMCI:242;TEAM:76;U:218
2026-08-14,94892.30,-1400.30,GTLB:212;HPE:155;MDB:20;PATH:637;PLTR:52;SHOP:58;SMCI:242;TEAM:76;U:218;WDAY:44
2026-08-17,92626.78,-1502.21,DELL:18;HPE:155;MDB:20;NEM:77;PATH:637;PLTR:52;SMCI:242;TEAM:76;U:218;WDAY:44
2026-08-18,92338.94,-2078.15,ABNB:50;MDB:20;NEM:77;PATH:637;PLTR:52;SMCI:242;TEAM:76;U:218;WDAY:44;ZS:48
2026-08-19,94602.50,-1842.28,ABNB:50;GTLB:220;MDB:20;PATH:637;PLTR:52;TEAM:76;TWLO:39;U:218;WDAY:44;ZS:48
2026-08-20,93057.06,6600.75,ABNB:50;GTLB:220;MDB:20;PATH:637;PLTR:52;TEAM:76;U:218;WDAY:44;ZS:48
2026-08-21,93908.88,-3849.17,ABNB:50;GTLB:220;MDB:20;MRNA:67;NEM:70;PATH:637;PLTR:52;TEAM:76;U:218;WDAY:44
2026-08-24,92914.02,-3183.31,ABNB:50;GTLB:220;MDB:20;MRNA:61;NEM:70;PATH:637;PLTR:52;TEAM:76;U:218;WDAY:44
2026-08-25,92864.57,-3449.77,ELF:85;GTLB:220;MDB:20;MRNA:61;MRVL:39;NEM:70;PATH:637;PLTR:52;TEAM:76;U:218
2026-08-27,93471.26,-4101.82,ELF:85;FCX:112;MRNA:61;MRVL:39;NEM:70;PATH:637;PLTR:52;SMCI:232;TEAM:76;U:218
2026-08-28,93842.93,-4102.23,ELF:85;FCX:112;MRNA:61;MRVL:39;NEM:70;PATH:637;PLTR:52;SMCI:232;TEAM:76;U:218
2026-08-29,92897.15,-4102.23,ELF:85;FCX:112;MRNA:61;MRVL:39;NEM:70;PATH:637;PLTR:52;SMCI:232;TEAM:76;U:218
2026-09-01,93103.75,3901.53,CRM:35;GTLB:200;MRNA:61;NEM:70;PATH:637;PLTR:52;SHOP:58;SMCI:232;TEAM:76
2026-09-01,92881.24,4214.70,ABNB:48;CRM:35;ELF:81;GTLB:200;MRNA:61;NEM:70;PATH:637;TEAM:76;TWLO:37
2026-09-02,92670.25,-5561.32,CRM:35;ELF:81;GTLB:200;MPC:23;MRNA:61;PATH:637;PSX:35;SMCI:244;TEAM:76;VLO:24
